words;T1;T2;T3;T4;T5;T6;T7
flap;1,74E-06;9,41E-05;6,02E-06;3,97E-05;3,37E-05;2,22E-05;4,10E-06
abra;1,74E-06;3,48E-06;1,81E-05;7,15E-05;3,37E-05;4,44E-06;1,23E-05
hcrf;5,23E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
wald;1,74E-06;3,83E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
plla;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;6,15E-05
upto;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
msns;1,22E-05;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
bien;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
json;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
food;0,000238899;0,003571578;0,000548186;4,50E-05;3,37E-05;0,002258669;0,000102575
bact;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
deic;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
dpra;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
taxi;1,74E-06;4,53E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
nich;8,72E-06;1,05E-05;6,02E-06;1,85E-05;3,37E-05;4,44E-06;0,000168223
msct;1,74E-06;0,000114987;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
mrck;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
tube;1,74E-06;1,05E-05;3,01E-05;0,001347295;3,37E-05;1,33E-05;4,10E-06
sast;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
pani;1,74E-06;3,48E-06;7,83E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
etoh;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;0,000421559;1,23E-05
fadi;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
ochr;1,74E-06;3,48E-06;5,42E-05;2,38E-05;3,37E-05;4,44E-06;4,10E-06
poro;1,74E-06;3,48E-06;3,01E-05;0,00032028;3,37E-05;4,44E-06;1,23E-05
palm;5,23E-06;3,48E-06;5,42E-05;7,15E-05;3,37E-05;1,33E-05;4,10E-06
dgge;1,74E-06;3,48E-06;5,42E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
gstt;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
aflp;1,74E-06;1,05E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
take;0,000950365;0,000135894;0,000150601;0,000230284;3,37E-05;9,32E-05;6,15E-05
cirp;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
crna;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
rtai;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
hear;0,000106371;0,000108018;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
flee;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
shot;4,36E-05;3,48E-06;6,02E-06;7,15E-05;3,37E-05;4,44E-06;4,10E-06
seek;0,00040979;1,05E-05;3,01E-05;7,94E-06;3,37E-05;0,000306185;2,87E-05
yate;1,74E-06;1,05E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
igep;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
fert;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;8,43E-05;4,10E-06
mvar;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
want;0,000123809;2,44E-05;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
vpcc;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
demo;1,74E-06;3,48E-06;6,02E-06;2,91E-05;3,37E-05;4,44E-06;4,10E-06
cabl;1,74E-06;1,74E-05;4,22E-05;3,97E-05;3,37E-05;4,44E-06;4,10E-06
temp;4,01E-05;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
aibn;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
trkb;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;0,000110781
barg;1,74E-06;3,48E-06;6,02E-06;0,000113819;3,37E-05;4,44E-06;4,10E-06
stab;1,74E-06;3,48E-06;6,02E-06;2,38E-05;3,37E-05;4,44E-06;4,10E-06
upqc;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
mclm;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
tile;1,74E-06;3,48E-06;1,81E-05;3,44E-05;3,37E-05;4,44E-06;4,10E-06
erai;1,74E-06;3,48E-06;0,000114456;2,65E-06;3,37E-05;4,44E-06;4,10E-06
kgbw;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
curb;8,72E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;3,99E-05;4,10E-06
fore;5,23E-06;3,48E-06;6,02E-06;1,32E-05;3,37E-05;4,44E-06;4,10E-06
endf;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
boil;5,23E-06;3,48E-06;6,02E-06;0,0001297;3,37E-05;4,44E-06;4,10E-06
note;0,000186585;0,000219521;4,22E-05;5,03E-05;3,37E-05;1,33E-05;7,80E-05
abba;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
gmaw;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
arsi;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
seri;0,000193561;0,000261335;1,81E-05;0,000722616;3,37E-05;0,000155311;7,80E-05
nthl;1,74E-06;1,05E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
pser;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
lead;0,000629508;0,000442527;0,000945772;0,000696147;3,37E-05;0,000998429;0,001111913
rung;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
dmmc;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,88E-05;4,10E-06
aaoa;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
ntru;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
lign;1,74E-06;3,48E-06;6,02E-06;2,65E-06;0,000101044;4,44E-06;4,10E-06
qinh;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
pulp;1,74E-06;3,48E-06;0,000222889;2,65E-06;3,37E-05;2,22E-05;0,000217459
rump;5,23E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
herg;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;3,99E-05;0,000102575
hcrt;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;5,77E-05;4,10E-06
gnat;3,31E-05;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
bare;1,22E-05;3,48E-06;4,22E-05;0,00022499;3,37E-05;3,11E-05;4,10E-06
rugo;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
tuft;1,74E-06;3,48E-06;6,02E-06;2,91E-05;3,37E-05;4,44E-06;4,10E-06
lcos;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
tauu;5,23E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
anti;0,000242387;0,002526238;6,02E-06;3,97E-05;0,000101044;0,000803181;0,001456566
lido;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
muck;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
fhaw;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
loca;1,74E-06;3,48E-06;6,02E-06;5,56E-05;3,37E-05;4,44E-06;4,10E-06
cruz;5,23E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
cntl;1,74E-06;3,48E-06;6,02E-06;2,65E-06;0,000437858;4,44E-06;4,10E-06
fmri;0,00028075;1,74E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
cgss;1,74E-06;1,05E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
apap;1,74E-06;3,48E-06;0,000138553;2,65E-06;3,37E-05;4,44E-06;4,10E-06
myst;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
gdwp;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
ppas;1,74E-06;1,05E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
savi;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
nphs;1,74E-06;1,05E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
mcbb;5,23E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
iarc;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
bloc;5,23E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
ssri;1,74E-06;4,53E-05;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
astr;1,74E-06;3,48E-06;6,02E-06;3,44E-05;3,37E-05;3,11E-05;4,10E-06
nris;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
twig;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
calm;1,22E-05;3,48E-06;1,81E-05;1,85E-05;3,37E-05;4,44E-06;4,10E-06
lrwc;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
rmdd;2,27E-05;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
rise;7,15E-05;0,000114987;0,000138553;0,00022499;3,37E-05;5,77E-05;0,000225665
hnss;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
milp;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
vsis;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
puff;1,74E-06;1,05E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
cart;1,74E-06;6,62E-05;6,02E-06;2,65E-06;0,000101044;7,54E-05;2,87E-05
wsan;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
ipem;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;0,000127193
gcls;1,74E-06;3,48E-06;6,02E-06;0,000309693;3,37E-05;4,44E-06;4,10E-06
ghul;1,74E-06;3,48E-06;6,02E-06;2,65E-06;0,000101044;4,44E-06;4,10E-06
vlan;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
plum;1,74E-06;3,48E-06;3,01E-05;2,65E-06;3,37E-05;9,32E-05;4,10E-06
warm;0,000123809;3,48E-06;0,000210841;0,000108525;3,37E-05;1,33E-05;4,10E-06
clic;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
lith;1,74E-06;3,48E-06;6,02E-06;2,91E-05;3,37E-05;4,44E-06;4,10E-06
till;1,74E-06;3,48E-06;6,02E-06;2,91E-05;3,37E-05;4,44E-06;1,23E-05
cysg;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
bark;1,74E-06;3,48E-06;6,02E-06;5,03E-05;3,37E-05;2,22E-05;4,10E-06
main;0,000448154;0,000679471;0,001054204;0,001278474;3,37E-05;0,000936305;0,000422609
byte;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
vhtr;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
napo;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
inch;1,74E-06;3,48E-06;6,02E-06;3,44E-05;3,37E-05;4,44E-06;4,10E-06
trap;5,23E-06;1,05E-05;0,00046385;0,000145582;3,37E-05;0,000137561;5,33E-05
cukh;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
giss;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
adni;1,74E-06;0,00010105;6,02E-06;2,65E-06;3,37E-05;7,54E-05;4,10E-06
ncsa;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
half;0,000169147;0,000233459;0,000210841;0,00015617;3,37E-05;0,000394934;2,05E-05
sick;4,71E-05;1,05E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
csnn;1,74E-06;3,48E-06;6,63E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
fist;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
bund;1,74E-06;3,48E-06;6,02E-06;3,97E-05;3,37E-05;4,44E-06;4,10E-06
skil;5,23E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
uwot;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
aaii;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
mecp;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,88E-05;4,10E-06
fair;0,000200536;1,05E-05;6,02E-06;2,91E-05;3,37E-05;4,44E-06;1,23E-05
samp;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;5,77E-05;4,10E-06
mesc;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;6,98E-05
bode;1,74E-06;3,48E-06;3,01E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
scci;2,27E-05;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
rygb;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
mfsa;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
shaw;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
aura;1,74E-06;1,05E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
tcad;1,74E-06;3,48E-06;0,000150601;7,68E-05;3,37E-05;4,44E-06;4,10E-06
milk;1,74E-06;0,000623719;3,01E-05;1,32E-05;3,37E-05;0,000173061;4,10E-06
view;0,001197983;1,05E-05;3,01E-05;0,000134994;3,37E-05;6,66E-05;0,000184635
wrap;1,74E-06;3,48E-06;6,02E-06;0,000172051;3,37E-05;4,44E-06;4,10E-06
cyan;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
cape;3,66E-05;3,48E-06;4,22E-05;1,32E-05;3,37E-05;4,44E-06;1,23E-05
herp;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
plow;1,74E-06;3,48E-06;6,02E-06;5,56E-05;3,37E-05;4,44E-06;4,10E-06
vote;0,000193561;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
mcdm;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
ybco;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
alon;0,000204023;0,000205584;0,000162649;0,000103231;3,37E-05;9,32E-05;0,000168223
hung;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
adrd;1,74E-06;8,01E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
lcpd;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
celf;1,74E-06;1,05E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
wine;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;0,000306185;4,10E-06
hull;1,74E-06;3,48E-06;1,81E-05;1,85E-05;3,37E-05;2,22E-05;4,10E-06
term;0,00105848;0,001118514;0,000680715;0,001151421;3,37E-05;0,000785431;0,000537493
miso;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
sscs;1,74E-06;3,48E-06;6,02E-06;1,85E-05;3,37E-05;4,44E-06;7,80E-05
hall;5,23E-06;3,48E-06;1,81E-05;7,94E-06;3,37E-05;4,44E-06;4,10E-06
chub;1,74E-06;3,48E-06;5,42E-05;2,65E-06;3,37E-05;1,33E-05;4,10E-06
mehp;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;0,000483683;4,10E-06
myog;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
badd;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
mdma;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
zinc;1,74E-06;6,62E-05;0,000391562;2,65E-06;3,37E-05;9,32E-05;0,000250283
ampt;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
turn;0,000343526;2,44E-05;4,22E-05;0,000108525;3,37E-05;4,88E-05;0,000110781
coal;1,74E-06;3,48E-06;0,000283129;0,000177345;3,37E-05;4,44E-06;4,10E-06
tcep;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
durk;5,23E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
rule;0,00016566;2,44E-05;1,81E-05;1,32E-05;3,37E-05;4,44E-06;4,10E-06
nicu;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
wage;2,27E-05;1,05E-05;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
pdes;5,23E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
snap;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;3,11E-05;4,10E-06
igbt;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
aorn;5,23E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
arch;1,74E-06;0,00010105;6,02E-06;0,000140288;3,37E-05;4,44E-06;4,10E-06
kras;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;0,000291313
qual;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
hyav;1,74E-06;1,05E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
mypn;1,74E-06;1,05E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
buoy;1,74E-06;3,48E-06;6,02E-06;3,97E-05;3,37E-05;4,44E-06;4,10E-06
uspa;1,74E-06;0,000128925;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
srrm;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
morn;5,23E-06;9,41E-05;1,81E-05;1,85E-05;3,37E-05;3,99E-05;4,10E-06
liga;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;2,22E-05;2,87E-05
mard;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
carp;1,74E-06;3,48E-06;7,83E-05;2,65E-06;3,37E-05;1,33E-05;1,23E-05
lcis;1,74E-06;8,71E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
ewss;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
comt;1,57E-05;3,14E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
bide;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
msma;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
lime;1,74E-06;3,48E-06;6,02E-06;7,68E-05;3,37E-05;1,33E-05;4,10E-06
fqlp;2,62E-05;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
dcnn;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
pskr;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
