words;T1;T2;T3;T4;T5;T6;T7
trne;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
grad;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
sgot;1,35E-06;1,99E-05;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
duke;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;3,90E-05
crcs;4,06E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
lost;3,66E-05;6,62E-06;4,75E-05;4,12E-05;1,79E-05;5,97E-05;7,80E-06
hysi;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
cbct;1,35E-06;6,62E-06;0,000332305;2,17E-06;1,79E-05;1,99E-05;7,80E-06
exon;1,35E-06;4,64E-05;1,58E-05;0,000106197;1,79E-05;1,99E-05;7,80E-06
lose;5,83E-05;6,62E-06;1,58E-05;1,95E-05;1,79E-05;5,97E-05;7,80E-06
june;3,12E-05;6,62E-06;7,91E-05;4,55E-05;1,79E-05;1,99E-05;7,80E-06
egov;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
gnss;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
tmdl;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
pore;1,35E-06;1,99E-05;1,58E-05;2,82E-05;0,000125002;1,99E-05;7,80E-06
tbut;1,35E-06;6,62E-06;1,58E-05;1,52E-05;1,79E-05;1,99E-05;7,80E-06
tree;4,06E-06;3,31E-05;4,75E-05;0,000192889;5,36E-05;1,99E-05;7,80E-06
hahn;4,06E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
info;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
dnns;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
ofth;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
idss;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
pick;1,49E-05;6,62E-06;1,58E-05;1,52E-05;1,79E-05;1,99E-05;7,80E-06
plsr;1,35E-06;1,99E-05;1,58E-05;2,17E-06;1,79E-05;1,99E-05;3,90E-05
ibec;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
wwtp;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;0,000148263
hcps;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
goss;1,35E-06;6,62E-06;1,58E-05;1,08E-05;1,79E-05;1,99E-05;7,80E-06
mgsu;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
slns;1,35E-06;6,62E-06;1,58E-05;2,82E-05;1,79E-05;1,99E-05;7,80E-06
jasm;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
peat;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
leaf;1,35E-06;8,61E-05;1,58E-05;7,59E-05;1,79E-05;0,000219058;0,000210689
fern;1,35E-06;6,62E-06;7,91E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
rwmm;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
tank;1,35E-06;1,99E-05;1,58E-05;2,17E-06;1,79E-05;1,99E-05;3,90E-05
ward;9,48E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
bolt;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
dsps;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
pome;1,35E-06;3,31E-05;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
ccme;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;2,34E-05
brix;1,35E-06;1,99E-05;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
iugr;4,06E-06;6,62E-06;1,58E-05;1,95E-05;1,79E-05;1,99E-05;7,80E-06
ibmr;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;3,90E-05
lush;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
troi;1,35E-06;6,62E-06;0,000110768;2,17E-06;1,79E-05;1,99E-05;7,80E-06
perm;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
esid;1,35E-06;6,62E-06;1,58E-05;3,25E-05;1,79E-05;1,99E-05;7,80E-06
wyom;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
gprs;4,06E-06;8,61E-05;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
mcft;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;5,97E-05;7,80E-06
blet;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;2,34E-05
flap;1,35E-06;1,99E-05;0,000427249;2,17E-06;1,79E-05;1,99E-05;7,80E-06
abra;1,35E-06;1,99E-05;0,000110768;2,17E-06;1,79E-05;1,99E-05;7,80E-06
cube;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
hcrf;4,06E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
wald;1,22E-05;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
plla;1,35E-06;6,62E-06;1,58E-05;2,17E-06;0,000267862;1,99E-05;7,80E-06
upto;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
msns;1,76E-05;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
bien;1,35E-06;6,62E-06;4,75E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
json;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
food;0,001109667;0,002324549;1,58E-05;0,000830073;1,79E-05;1,99E-05;0,00130315
bact;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
qemu;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
deic;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
mimo;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
dpra;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
taxi;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;8,58E-05
nmda;1,35E-06;5,96E-05;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
nich;4,06E-06;6,62E-06;1,58E-05;8,89E-05;1,79E-05;1,99E-05;7,80E-06
visq;1,22E-05;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
msct;1,35E-06;6,62E-06;0,000522193;2,17E-06;1,79E-05;1,99E-05;7,80E-06
tpox;1,35E-06;6,62E-06;1,58E-05;1,52E-05;1,79E-05;1,99E-05;7,80E-06
mrck;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
tube;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
sast;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
sacr;1,22E-05;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
torr;4,06E-06;6,62E-06;1,58E-05;2,17E-06;5,36E-05;1,99E-05;7,80E-06
pani;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;0,000101443
etoh;1,35E-06;0,000642397;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
fadi;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
ochr;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
poro;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
palm;4,06E-06;1,99E-05;1,58E-05;1,08E-05;1,79E-05;1,99E-05;7,80E-06
dgge;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;3,90E-05
gstt;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
wscs;6,77E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
aflp;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
drms;1,35E-06;6,62E-06;1,58E-05;1,52E-05;1,79E-05;1,99E-05;7,80E-06
take;0,000800749;1,99E-05;1,58E-05;8,02E-05;1,79E-05;1,99E-05;7,80E-06
cirp;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
crna;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
ptms;1,35E-06;3,31E-05;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
rtai;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
keto;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;3,90E-05
hear;8,26E-05;6,62E-06;4,75E-05;6,29E-05;1,79E-05;1,99E-05;7,80E-06
kiss;4,06E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;2,34E-05
flee;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;5,97E-05;7,80E-06
shot;4,74E-05;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
swot;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
seek;0,000345501;0,000390736;1,58E-05;1,52E-05;1,79E-05;1,99E-05;7,80E-06
yate;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
igep;1,35E-06;1,99E-05;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
fert;6,77E-06;6,62E-06;1,58E-05;2,17E-06;0,000267862;1,99E-05;7,80E-06
mvar;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
want;0,000104328;6,62E-06;1,58E-05;1,08E-05;1,79E-05;1,99E-05;7,80E-06
vpcc;4,06E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
demo;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
neat;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
cabl;1,35E-06;6,62E-06;7,91E-05;2,17E-06;1,79E-05;5,97E-05;7,80E-06
otus;1,35E-06;6,62E-06;1,58E-05;1,52E-05;1,79E-05;1,99E-05;7,80E-06
hmsc;1,35E-06;6,62E-06;1,58E-05;6,50E-06;8,93E-05;1,99E-05;7,80E-06
temp;3,12E-05;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
bddc;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
prid;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
aibn;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;2,34E-05
pant;6,77E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
ndrg;1,35E-06;6,62E-06;1,58E-05;1,52E-05;1,79E-05;1,99E-05;7,80E-06
trkb;1,35E-06;0,000152321;1,58E-05;1,08E-05;1,79E-05;1,99E-05;7,80E-06
mbit;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
barg;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
sdbr;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
stab;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
upqc;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
fhht;1,35E-06;6,62E-06;1,58E-05;1,52E-05;1,79E-05;1,99E-05;7,80E-06
mclm;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
tile;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
erai;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;0,000378373;7,80E-06
oili;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;5,46E-05
kgbw;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;2,34E-05
curb;6,77E-06;4,64E-05;1,58E-05;2,17E-06;1,79E-05;1,99E-05;2,34E-05
fore;6,77E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
endf;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
cenp;1,35E-06;6,62E-06;1,58E-05;1,52E-05;1,79E-05;1,99E-05;7,80E-06
apal;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;0,000179229;7,80E-06
boil;4,06E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
phvs;1,35E-06;6,62E-06;1,58E-05;2,17E-06;8,93E-05;1,99E-05;7,80E-06
note;0,000199171;1,99E-05;7,91E-05;9,75E-05;1,79E-05;5,97E-05;7,80E-06
hvsh;1,35E-06;6,62E-06;1,58E-05;1,08E-05;1,79E-05;1,99E-05;7,80E-06
abba;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
btms;1,35E-06;6,62E-06;1,58E-05;1,52E-05;1,79E-05;1,99E-05;7,80E-06
gmaw;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
ecmp;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
arsi;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
seri;0,000277756;1,99E-05;7,91E-05;8,45E-05;1,79E-05;1,99E-05;7,80E-06
nthl;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
pser;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
lead;0,000573125;0,000668887;1,58E-05;0,000934103;5,36E-05;1,99E-05;0,000397968
rung;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
dmmc;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;8,58E-05
here;4,06E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
pssm;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
aaoa;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
tema;1,35E-06;6,62E-06;7,91E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
ntru;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
dmct;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,02E-05
lign;1,35E-06;6,62E-06;4,75E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
wcst;6,77E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
qinh;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
pulp;1,35E-06;6,62E-06;1,58E-05;0,000110532;5,36E-05;1,99E-05;7,80E-06
rump;4,06E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
herg;1,35E-06;6,62E-06;1,58E-05;6,72E-05;1,79E-05;1,99E-05;2,34E-05
tres;1,35E-06;6,62E-06;0,000110768;2,17E-06;1,79E-05;1,99E-05;7,80E-06
sync;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;2,34E-05
hcrt;1,35E-06;8,61E-05;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
slid;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
nino;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
asat;1,35E-06;3,31E-05;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
gnat;2,57E-05;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
bare;6,77E-06;1,99E-05;1,58E-05;2,17E-06;1,79E-05;5,97E-05;2,34E-05
kilo;1,35E-06;6,62E-06;1,58E-05;2,17E-06;5,36E-05;1,99E-05;7,80E-06
rugo;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
tuft;1,35E-06;6,62E-06;0,000174064;2,17E-06;1,79E-05;1,99E-05;7,80E-06
lcos;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
irak;1,35E-06;6,62E-06;1,58E-05;1,08E-05;1,79E-05;1,99E-05;7,80E-06
plcg;1,35E-06;6,62E-06;1,58E-05;1,08E-05;1,79E-05;1,99E-05;7,80E-06
dali;1,35E-06;6,62E-06;1,58E-05;2,17E-06;0,000125002;1,99E-05;7,80E-06
anti;0,000242528;0,00077485;1,58E-05;0,002360183;1,79E-05;5,97E-05;7,80E-06
lido;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;5,97E-05;7,80E-06
tauu;4,06E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
muck;1,35E-06;6,62E-06;4,75E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
tdnn;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;9,96E-05;7,80E-06
loca;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
fhaw;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
fdtd;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
cruz;4,06E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
cntl;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;0,000258887;7,80E-06
fmri;0,000223559;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
cgss;4,06E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
apap;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;0,000179476
myst;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
gdwp;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
bole;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
mfhw;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
ppas;4,06E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
savi;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
dilm;6,77E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
nphs;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
mcbb;4,06E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
iarc;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
bloc;4,06E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
ssri;6,77E-06;1,99E-05;1,58E-05;2,17E-06;0,000160717;1,99E-05;7,80E-06
astr;1,35E-06;0,00012583;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
tamp;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
grns;1,35E-06;6,62E-06;1,58E-05;1,08E-05;1,79E-05;1,99E-05;7,80E-06
nris;1,35E-06;1,99E-05;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
vsfs;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
twig;4,06E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
calm;9,48E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
lrwc;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
rmdd;1,76E-05;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
psrr;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
rise;7,18E-05;8,61E-05;1,58E-05;0,000140874;1,79E-05;1,99E-05;7,80E-06
hnss;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
clsm;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
simo;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
liao;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;3,90E-05
milp;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
vsis;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
tnfs;1,35E-06;6,62E-06;1,58E-05;1,52E-05;1,79E-05;1,99E-05;7,80E-06
puff;4,06E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
cart;1,35E-06;9,93E-05;1,58E-05;5,42E-05;1,79E-05;1,99E-05;7,80E-06
wsan;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
ipem;1,35E-06;0,000192057;1,58E-05;2,17E-06;5,36E-05;1,99E-05;7,80E-06
gcls;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
ghul;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;5,97E-05;7,80E-06
atha;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
vlan;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
plum;1,35E-06;8,61E-05;0,000142416;2,17E-06;1,79E-05;1,99E-05;3,90E-05
warm;9,08E-05;6,62E-06;1,58E-05;6,50E-06;1,79E-05;9,96E-05;8,58E-05
msss;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
clic;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
lith;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
till;1,35E-06;1,99E-05;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
cysg;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;2,34E-05
enam;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;0,000179229;7,80E-06
bark;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;0,000179229;3,90E-05
main;0,000605643;0,000403982;1,58E-05;0,000574333;1,79E-05;1,99E-05;0,001115871
byte;1,35E-06;6,62E-06;1,58E-05;2,17E-06;5,36E-05;5,97E-05;7,80E-06
vhtr;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
napo;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;2,34E-05
