words;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14
resp;3,10E-06;8,37E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,51E-05;2,20E-06;2,62E-06;2,03E-06
giga;5,17E-07;1,39E-06;4,28E-06;1,27E-06;0,000118796;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
grad;5,17E-07;0,000106011;4,28E-06;7,64E-06;1,36E-05;1,69E-05;8,15E-05;3,91E-06;7,10E-05;2,41E-05;1,37E-06;6,82E-05;2,88E-05;3,25E-05
sgot;1,09E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;1,58E-05;3,91E-06;1,04E-05;4,02E-06;1,37E-06;1,32E-05;2,62E-06;2,03E-06
duke;3,10E-06;0,000189704;4,28E-06;6,49E-05;6,31E-05;2,82E-06;2,63E-06;3,91E-06;0,00094552;4,02E-06;8,23E-06;4,62E-05;8,13E-05;0,000388527
lost;0,000230673;0,000133909;4,28E-06;0,000255924;0,000273479;0,000143923;0,000173511;0,000238323;0,001802722;0,000567519;4,25E-05;3,52E-05;0,000120578;0,000235964
ajay;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;5,52E-05;3,91E-06;1,73E-06;4,02E-06;1,51E-05;2,20E-06;2,62E-06;6,31E-05
efff;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;5,29E-05
sele;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;8,37E-05;2,20E-06;2,62E-06;2,03E-06
vogt;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;0,000189238;2,62E-06;2,03E-06
blvd;5,17E-07;9,21E-05;2,57E-05;1,40E-05;1,24E-06;3,10E-05;2,63E-06;8,20E-05;1,90E-05;4,02E-06;8,37E-05;3,52E-05;2,88E-05;1,22E-05
jpau;5,17E-07;1,53E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;4,30E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
lose;0,000220329;0,000106011;2,57E-05;0,000204994;0,000143546;8,75E-05;2,89E-05;3,91E-06;0,000832958;0,000285772;1,37E-06;4,62E-05;6,82E-05;0,000144426
june;1,09E-05;5,02E-05;4,28E-06;7,64E-06;0,000205419;7,34E-05;0,000633577;0,000394601;0,000183563;4,43E-05;0,000207234;0,00055231;5,50E-05;2,03E-06
pren;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,36E-05;2,82E-06;4,21E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
yugo;5,17E-07;1,39E-06;4,28E-06;4,58E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
vlbi;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;0,0001998;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
poni;5,17E-07;1,39E-06;4,28E-06;2,04E-05;1,24E-06;2,82E-06;1,58E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
manu;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;0,000133685;2,03E-06
tree;0,000261706;1,39E-06;4,28E-06;4,58E-05;8,79E-05;1,69E-05;2,63E-06;0,000394601;2,77E-05;4,02E-06;0,000131751;2,20E-06;0,000120578;0,000174939
hahn;2,38E-05;1,39E-06;4,28E-06;2,04E-05;1,24E-06;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,51E-05;2,20E-06;2,62E-06;2,24E-05
info;6,78E-05;0,002100697;4,28E-06;0,000879818;1,24E-06;3,10E-05;0,000186655;0,000902502;0,000157587;0,001976253;0,002368781;0,000420284;0,000566194;0,001273393
albe;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;5,52E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
ofth;0,000504792;0,000280372;4,28E-06;0,000243191;0,000360102;0,000214474;0,000357537;0,000394601;0,000235514;0,000305897;0,000104303;9,02E-05;0,000212323;0,000154597
pick;0,000106544;0,0005454;4,28E-06;0,00031322;0,000242543;2,82E-06;2,63E-06;0,000335997;0,001300523;0,000265647;6,31E-05;2,20E-06;0,000107472;1,22E-05
zorg;5,17E-07;1,39E-06;0,000111197;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
teel;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;4,30E-05;4,50E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
goss;5,17E-07;1,39E-06;4,28E-06;0,000103133;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
sabl;5,17E-07;1,39E-06;4,28E-06;3,95E-05;1,24E-06;1,69E-05;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
leaf;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;0,000609482;0,000486614;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
fern;5,69E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;4,30E-05;1,04E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
loma;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;4,62E-05;2,62E-06;2,03E-06
tank;0,000228087;1,39E-06;4,28E-06;0,000166796;0,000254917;0,001964132;9,46E-05;0,000238323;1,04E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
ward;5,69E-06;8,37E-06;4,28E-06;3,31E-05;3,84E-05;5,93E-05;0,000318103;6,25E-05;1,04E-05;2,41E-05;8,37E-05;0,000123225;2,62E-06;9,36E-05
bolt;1,60E-05;3,63E-05;4,28E-06;0,000154064;1,24E-06;0,000256805;2,63E-06;3,91E-06;1,73E-06;4,02E-06;8,23E-06;1,32E-05;1,57E-05;2,03E-06
inth;0,000339286;0,00011996;2,57E-05;0,000198627;0,000261105;0,000256805;9,46E-05;2,34E-05;0,000304783;8,45E-05;3,57E-05;0,000244249;0,000173004;2,24E-05
dsps;5,17E-07;1,53E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;8,23E-06;2,20E-06;2,62E-06;2,03E-06
wgep;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;0,000120578;2,03E-06
troi;1,86E-05;8,37E-06;4,28E-06;1,40E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;2,77E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,24E-05
perm;5,17E-07;1,39E-06;4,28E-06;7,64E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;8,34E-05
wsnc;1,34E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;4,30E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
chiu;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;1,69E-05;2,63E-06;0,000296927;1,73E-06;4,02E-06;1,37E-06;2,20E-06;1,57E-05;2,03E-06
shai;2,64E-05;1,39E-06;4,28E-06;1,27E-06;0,000230168;0,000143923;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
flap;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;5,93E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
nunn;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
attr;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;0,000225429;2,03E-06
cube;0,000147921;8,37E-06;6,84E-05;7,64E-06;1,24E-06;1,69E-05;2,63E-06;8,20E-05;1,73E-06;0,000104649;8,37E-05;5,72E-05;4,19E-05;2,03E-06
stew;1,34E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;8,23E-06;2,20E-06;2,62E-06;2,03E-06
wept;8,28E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
upto;5,17E-07;7,81E-05;4,28E-06;3,31E-05;1,98E-05;2,82E-06;2,89E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,42E-05;1,57E-05;8,34E-05
sane;1,34E-05;3,63E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
stds;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;4,62E-05;2,62E-06;2,03E-06
food;0,000140163;1,39E-06;2,57E-05;0,002643273;0,000230168;0,000412016;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;0,000486297;2,62E-06;2,03E-06
ilan;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,36E-05;2,82E-06;6,84E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
cels;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;6,84E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
taxi;5,17E-07;1,39E-06;4,28E-06;8,40E-05;1,24E-06;2,82E-06;1,58E-05;3,91E-06;1,04E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
nich;5,17E-07;5,02E-05;4,28E-06;1,40E-05;1,24E-06;2,82E-06;2,89E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
tube;5,17E-07;0,000517502;4,28E-06;1,40E-05;1,24E-06;0,000256805;2,63E-06;0,001000176;1,04E-05;4,02E-06;1,37E-06;0,000145229;2,62E-06;2,03E-06
sacr;0,000181539;1,39E-06;4,28E-06;1,40E-05;1,98E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
haas;5,17E-07;5,72E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;6,82E-05;2,03E-06
torr;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;0,00010158;0,000252831;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
gaya;5,17E-07;1,39E-06;4,28E-06;1,27E-06;0,000174482;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
onmi;8,28E-06;8,37E-06;4,28E-06;1,40E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;5,50E-05;2,03E-06
palm;3,67E-05;8,37E-06;4,28E-06;5,22E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,04E-05;4,02E-06;1,37E-06;3,52E-05;2,62E-06;8,34E-05
take;0,002069337;0,001612487;4,28E-06;0,002656005;0,001436695;0,000891761;0,000541564;0,001937841;0,001612233;0,000305897;0,000666991;0,000717343;0,001247723;0,00112083
letm;3,10E-06;1,53E-05;4,28E-06;1,27E-06;1,24E-06;1,69E-05;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,37E-06;1,32E-05;2,62E-06;1,22E-05
gore;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,36E-05;1,69E-05;2,63E-06;6,25E-05;2,77E-05;4,02E-06;1,37E-06;7,92E-05;2,62E-06;2,03E-06
grbs;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;0,000252379;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
hear;0,000626335;0,000503553;4,28E-06;0,000816155;0,000421975;0,00076477;2,63E-06;0,000648552;0,000304783;4,02E-06;1,37E-06;1,32E-05;5,50E-05;0,000347844
aust;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;3,57E-05;2,20E-06;2,62E-06;3,25E-05
kiss;1,60E-05;1,39E-06;2,57E-05;1,27E-06;0,000137358;2,82E-06;2,63E-06;3,91E-06;1,04E-05;4,02E-06;8,23E-06;2,20E-06;2,62E-06;1,22E-05
flee;4,19E-05;1,39E-06;4,28E-06;1,27E-06;0,000279667;0,000158034;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
shot;4,45E-05;2,23E-05;4,28E-06;0,000332319;0,000855087;0,001188074;1,58E-05;0,00010158;0,000789665;4,02E-06;1,37E-06;0,000233246;2,62E-06;1,22E-05
seek;0,00027205;0,000231551;4,28E-06;0,000115866;0,000174482;2,82E-06;1,58E-05;3,91E-06;1,04E-05;4,02E-06;2,88E-05;0,000145229;0,000120578;2,03E-06
hoen;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;1,69E-05;2,63E-06;4,30E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
tsos;5,17E-07;1,39E-06;2,57E-05;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;6,44E-05;1,37E-06;2,20E-06;2,62E-06;2,03E-06
lyon;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,36E-05;2,82E-06;2,63E-06;0,000121115;5,37E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
onan;5,69E-06;2,93E-05;4,28E-06;7,64E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,88E-05;1,22E-05
xian;1,60E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;4,30E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
cpsr;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;9,06E-05;2,20E-06;2,62E-06;2,03E-06
want;0,002340869;0,003411889;4,28E-06;0,002878825;0,001702749;0,001413836;4,21E-05;0,001859702;0,001136009;0,001694506;0,001456128;2,20E-06;0,00293844;0,003602522
demo;3,10E-06;9,21E-05;2,57E-05;7,64E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;0,000285772;0,00079737;2,20E-06;2,62E-06;0,000154597
neat;1,34E-05;0,000133909;4,28E-06;8,40E-05;1,24E-06;7,34E-05;2,63E-06;0,000218788;1,73E-06;4,02E-06;2,88E-05;2,20E-06;2,88E-05;2,03E-06
bong;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,42E-05;2,62E-06;2,03E-06
cabl;5,17E-07;0,001975157;4,28E-06;1,27E-06;1,36E-05;0,000242694;0,000107787;3,91E-06;1,90E-05;4,02E-06;3,57E-05;5,72E-05;0,00068415;2,03E-06
temp;5,17E-07;8,37E-06;2,57E-05;5,86E-05;1,24E-06;0,000270915;4,21E-05;6,25E-05;1,73E-06;0,000587643;4,25E-05;2,20E-06;1,57E-05;0,000164768
pant;5,17E-07;1,39E-06;4,28E-06;5,22E-05;0,000112609;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,37E-06;1,32E-05;2,62E-06;2,03E-06
mbit;5,17E-07;1,39E-06;2,57E-05;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
stab;3,15E-05;1,39E-06;4,28E-06;2,67E-05;0,000149733;4,52E-05;2,63E-06;2,34E-05;1,04E-05;4,02E-06;1,37E-06;7,92E-05;2,62E-06;2,03E-06
whop;5,17E-07;8,37E-06;4,28E-06;1,40E-05;7,42E-06;1,69E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
thew;5,69E-06;1,39E-06;4,28E-06;7,64E-06;1,24E-06;1,69E-05;2,63E-06;3,91E-06;1,73E-06;2,41E-05;1,37E-06;2,20E-06;2,62E-06;2,03E-06
leas;5,17E-07;7,11E-05;4,28E-06;1,27E-06;1,24E-06;0,000186254;2,63E-06;3,91E-06;3,64E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
tile;3,10E-06;1,39E-06;4,70E-05;1,40E-05;1,98E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;7,00E-05;2,20E-06;5,50E-05;6,31E-05
oili;5,17E-07;1,39E-06;4,28E-06;7,13E-05;1,24E-06;1,69E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
fore;1,09E-05;1,39E-06;4,28E-06;2,04E-05;1,24E-06;3,10E-05;2,89E-05;3,91E-06;2,77E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
sami;2,90E-05;1,39E-06;4,28E-06;7,64E-06;7,42E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;4,19E-05;2,03E-06
boil;2,38E-05;1,39E-06;4,28E-06;7,77E-05;3,84E-05;0,000172144;6,84E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
note;0,000869421;0,000538426;4,28E-06;0,000548772;0,000112609;0,000369686;0,000686156;2,34E-05;0,000720396;0,002519622;0,001469852;0,000475295;0,001064234;0,000490236
mget;1,09E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;2,20E-05;3,52E-05;2,62E-06;1,22E-05
foia;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
hmri;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;5,72E-05;2,62E-06;2,03E-06
bchm;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;0,0003221;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
seri;1,09E-05;0,000461707;4,28E-06;0,000134965;2,60E-05;0,000539007;0,000357537;0,000199254;0,001205278;4,02E-06;0,000419958;0,000277255;0,000251642;6,31E-05
bego;5,17E-07;1,39E-06;4,28E-06;2,67E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
lead;0,000393593;0,000280372;2,57E-05;0,000236825;0,000347727;0,000242694;0,000462695;0,001371335;0,000893568;0,000366271;4,94E-05;0,000750349;0,000225429;2,24E-05
oran;5,17E-07;8,37E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,89E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
here;0,002258116;0,001472999;0,000474724;0,002204001;0,001504755;0,001498497;0,00022609;0,001859702;0,001413085;0,000587643;0,000625819;0,000211242;0,001562275;0,001924329
rpms;5,17E-07;1,39E-06;4,28E-06;7,77E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
luci;8,28E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,43E-05;1,37E-06;1,32E-05;2,62E-06;2,03E-06
xinu;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;2,88E-05;2,20E-06;2,62E-06;2,03E-06
scub;5,17E-07;1,39E-06;8,98E-05;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
lise;3,10E-06;1,39E-06;2,57E-05;1,27E-06;1,24E-06;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,51E-05;2,20E-06;2,62E-06;2,03E-06
pulp;3,10E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;2,41E-05;1,37E-06;2,42E-05;2,62E-06;2,03E-06
estd;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;0,00010158;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
navo;5,17E-07;1,39E-06;4,28E-06;3,31E-05;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,43E-05;1,37E-06;2,20E-06;2,62E-06;2,03E-06
eoka;5,17E-07;1,39E-06;4,28E-06;1,27E-06;3,84E-05;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
tohc;5,17E-07;1,39E-06;8,98E-05;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
sync;5,17E-07;0,000343142;4,28E-06;1,27E-06;7,42E-06;2,82E-06;2,63E-06;2,34E-05;1,73E-06;4,02E-06;1,51E-05;1,32E-05;2,62E-06;2,03E-06
bare;2,38E-05;2,23E-05;4,28E-06;7,77E-05;0,000168295;2,82E-06;2,63E-06;3,91E-06;7,97E-05;4,02E-06;1,37E-06;7,92E-05;0,000277854;2,03E-06
ryne;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;3,64E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
tmpl;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;6,44E-05;1,37E-06;2,20E-06;6,82E-05;2,03E-06
tuft;5,17E-07;4,32E-05;4,28E-06;7,64E-06;1,98E-05;2,82E-06;1,58E-05;2,34E-05;1,73E-06;4,02E-06;1,37E-06;4,62E-05;0,000290961;4,27E-05
each;0,000763394;0,001312587;4,28E-06;0,000497842;0,000366289;0,000327355;0,001369683;8,20E-05;0,001032106;0,001734755;0,001181645;0,000882376;0,001103553;0,00054109
acsu;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;4,30E-05;1,73E-06;2,41E-05;8,23E-06;2,20E-06;1,57E-05;0,000317331
oahu;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;2,20E-05;1,32E-05;2,62E-06;2,03E-06
dali;3,10E-06;7,81E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
anti;0,000494448;9,21E-05;4,28E-06;0,000421447;0,000892211;2,82E-06;0,000778169;3,91E-06;1,73E-06;4,02E-06;5,63E-05;0,000596319;1,57E-05;3,25E-05
muck;5,69E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;6,25E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;3,25E-05
