Words;T1_lev1;T2_lev1;T3_lev1;T4_lev1;T5_lev1;T6_lev1;T7_lev1;T8_lev1;T9_lev1;T10_lev1;T1_lev2;T2_lev2;T3_lev2;T4_lev2;T5_lev2;T6_lev2;T7_lev2;T8_lev2;T9_lev2;T10_lev2;T11_lev2;T12_lev2;T13_lev2;T14_lev2;T15_lev2;T16_lev2;T17_lev2;T18_lev2;T19_lev2;T20_lev2;T21_lev2;T22_lev2;T23_lev2;T24_lev2;T25_lev2;T26_lev2;T27_lev2;T28_lev2;T29_lev2;T30_lev2;T32_lev2;T33_lev2;T34_lev2;T35_lev2;T36_lev2;T37_lev2
unit;2,72E-05;0,001392969;0,000206045;0,000373459;0,000208029;0,000226418;0,000375265;0,000150316;0,001072693;0,000640632;5,47E-05;0,000273638;0,001182208;0;0,000523199;0;0,00067194;0,000625127;0,000317175;0,002290974;0,000378046;0;0,000154732;0,002553031;0,000290087;0,000136696;0;0;0,001177141;0;0,000427641;0,00013953;0,000703573;3,72E-05;0,00148235;0;0;0,000681723;0;0,000112653;0,000616521;0,001980294;0,000510027;0,000421731;0,000877686;3,74E-16
well;0,002376576;0,001706798;0,002105471;0,002103374;0,001935178;0,001435575;0,002947836;0,001827043;0,003114165;0,001644691;0,002153137;0,001288976;0,002067188;0,001561675;0,001525523;0,001377385;0,000830769;0,003464422;0,000759101;0,001660904;0,003087877;0,000943651;0,001771716;0,001770672;0,001021155;0,001303711;0,001066069;0,002108908;0,002642283;0,002072202;0,001448867;0,001728984;0,001018002;0,00162973;0,002705402;0,001629561;0,002480557;0,001447435;0,000908445;0,007077213;0,001203142;0,001664761;0,002228213;0,00159722;0,002183147;0,004834569
year;1,86E-15;0,003651297;0,000352901;6,49E-15;0,001263879;0,007078249;8,71E-05;0,000382733;0,003499317;2,58E-05;0;0,001462496;1,34E-11;0,003285557;1,09E-14;2,76E-05;0,00403505;0,013172397;0,009003625;0,001081842;0;0;0,000338677;0,001161685;0,004112892;5,39E-16;0;0;0;0;0,000209653;4,55E-11;0;6,12E-15;0;0;0;0,001617704;6,36E-16;0,006382513;0;0,00763239;0,001043554;0,004584034;1,59E-07;0
belt;0;5,05E-05;0;0;0;0;1,75E-16;0;0;3,65E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000237118;0,000218329;0;0;8,78E-13;0
cool;0;3,19E-05;0;0;0;0;0,001668214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007035577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,95E-14;0;0;0;0;1,05E-15
fuel;0;0,000711365;0;0,000796664;0;0;0,001041823;0;0;0,000111806;0;0;0;0;0;0;0;0;0;0;0;0;0;0,010416304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
grow;0,000171431;0,000960185;0,000629118;2,39E-05;0,000222343;6,11E-12;2,03E-05;0,000347908;0,000668969;3,14E-05;0;6,94E-08;0,000361969;0;0,000350862;0,000172453;0,000928121;4,51E-10;0;0,001123539;5,69E-10;0;0;2,06E-05;3,00E-08;0,000144536;1,75E-05;3,74E-05;0,000834246;0,000373786;0;3,84E-07;0;0;5,42E-11;0,00026562;0,000256215;0;0,000478558;0,001600757;1,90E-05;0,000783262;0,003964773;0,000139689;9,11E-05;0
issu;9,83E-05;0,000466339;0;0,000113464;0,000129026;0;1,30E-05;0,001864323;0,003517909;0,000368672;0;0,000219908;0,000314235;0;0,002186991;0,000608145;0,000470251;0,000109195;0;0,001331924;7,53E-08;0;0,000668064;0,0004308;0,000927208;0;0;0;0,003830532;0;6,89E-05;0;0,000408492;0;4,69E-08;0;0;0;0,002318112;0,006856746;0,000248764;0;0;0;1,63E-05;0
load;2,32E-05;0,000950778;8,27E-05;0;0;0;0,003997971;1,41E-09;0;0,001922983;0;0;0;0;0,00046673;0;1,22E-11;0;0;0;0;0;0;0,004722429;0;0;0;0;0;0;0,01336269;1,32E-12;0,005197865;0;0;0;0;0;0;0;0,002849377;0,000659546;0;0;0,002680968;1,52E-15
mini;4,74E-05;0;5,13E-05;6,37E-05;0;0,00012655;2,29E-05;0;0,000195165;8,75E-10;0;0,000120468;0;0,000197274;0;0;0;0,000306067;1,90E-06;0;0;3,12E-05;0;0,000491465;1,92E-05;0,000131738;0;5,99E-05;0;0;2,89E-05;7,13E-05;0;0;0;0,000126141;5,65E-05;3,95E-08;0;0;6,37E-05;0;0;0;0;0
test;0,000610582;0,000308699;0,001690047;0,001578359;0,002693992;0,005730165;0,00890377;0,001415471;0,000177074;0,002186793;5,39E-15;6,71E-14;0,000141005;2,77E-09;0,00042975;6,76E-05;0;0,000918849;9,55E-05;0;4,81E-07;0,000721878;0;0,000684589;0,00200642;0,001133805;0,002346879;0;1,96E-09;0,00182475;0,023383912;0,001113679;5,09E-06;0,025871433;0,001657735;0,005307572;5,33E-07;0,004852865;0,001053133;0;0,001478337;0;1,97E-12;0,008163656;1,73E-06;2,51E-10
work;0,000193601;5,69E-05;0,000197474;0,00074281;0,00061963;7,06E-05;0,001961936;0,002948738;0,005663974;0,001803654;0,000310654;1,56E-10;0,000948034;0,000261689;0,001789618;0,002003542;0;0,000615899;0;1,10E-05;0,002619404;0,000505508;0,00282693;0,001470363;0,008131946;0;0,000715991;1,28E-12;0,008696236;0,000101734;0,000351338;0,002306858;0,001555922;0,000103636;0,002891814;0,000967194;0,000448248;2,25E-07;0,005258943;0,002598943;0,001884169;4,37E-06;0;8,58E-16;0,000494882;0,00264571
case;5,25E-12;0,001182169;0,000957081;0,000178779;0,000107084;0,004093345;0,002228132;0,002139403;0,001814078;0,001111737;0,000144437;0,000169126;0,000473515;0,009285595;0,000608724;1,06E-07;0,002876217;6,94E-16;0,003753634;0,000499071;0,007670296;0;0,000864395;0,001035347;1,81E-07;0,001642032;0,000341018;0;0,006201147;0;0,000879112;0,000965745;1,95E-11;1,63E-06;0,004550827;0;0;0,000398691;0,000831827;6,95E-11;0;2,55E-07;4,00E-09;0,004613795;0;0,002576308
eman;0;1,92E-05;0;0;0;3,30E-06;0;0;2,81E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,23E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,58E-05;9,21E-05;0
hope;0;0;3,14E-05;6,41E-06;0;0;1,47E-06;0;0,000446869;0;0;0;0;0;0;0;0;0,0002251;0;0;0;0;0;0;0;2,03E-05;0;0;0;5,17E-15;0;0;0;0;0;0;0;0;0;0,000838829;0;0;0;0;0;0
lead;0,001652031;0,000563748;0,000781923;0,001020919;0,00058251;0,000203538;0,000972215;0,00053116;0,001212283;0,000829983;0,000762641;2,47E-07;0,000198965;0,002764778;0,000954409;0,000739804;7,40E-05;0;0,000168763;0,003179712;0,0010096;9,70E-09;0,000306046;0,001352184;0,000839866;2,29E-15;0,001516216;0,001517183;0,00074861;0,000485725;0,000447792;0,000386475;0,001181392;5,49E-13;0,000320597;0,000640677;0,000827109;8,70E-10;1,16E-14;0,002234228;0,000817482;0,000278455;0,000527573;0,00055162;0,001968694;0,001557569
male;0,000150644;0;0,000261709;0,000254865;0,001832565;0,001341919;0;0;0;0;0,000567547;0;0,002663103;0,000408667;0;0;0;0,001518722;0,001477806;0;0;0,005572873;0;0;0;0,000645609;0;0;0;0;0;0;0;0;0;0,001880208;0;0,001508095;0;0;0;0;0;0;0;0
mean;0;0,001302513;0,00010361;0,001007866;0,000946463;0,002997826;0,00104486;0,000742124;0,001329619;0,001123964;0,000363398;0,002769067;0,001817866;4,63E-05;1,58E-06;0,00039331;0,000463796;0,001334427;0,003944665;1,04E-10;0,00040929;0,001902322;0,000790691;0,000135496;0,001210087;0;0,000121112;0;6,61E-05;0,000715793;0,000151002;0,000911428;2,42E-13;0,009191038;1,41E-13;6,29E-16;0;0,002452258;0,002028122;0,00063067;0,001096173;0,001695738;0,000174563;1,86E-11;0,000478857;0,000629617
nevi;0;0;0;0;0;7,36E-06;0;0;0;0;0;0;0;1,02E-09;0;0;0;0;2,46E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
seen;0,000182872;0,000104592;0,000105467;2,70E-11;0,000239144;0,000474741;6,67E-05;0,000132092;0,000219764;4,77E-05;1,78E-05;0;0,000458396;0,000374584;6,62E-05;1,44E-10;7,92E-05;2,42E-05;0,000813866;0,000152274;0,000119075;0,0001862;7,01E-05;2,62E-06;0;0,000159874;0,000337669;0,000134962;0;0,000144826;0;0;0;0;0;0,000431883;0;0,000194101;0,000367315;0,000646355;6,68E-05;0,000117832;0,000122277;0,000439779;0;0,000160515
sinc;0,000489776;0,000548191;0,00059176;0,000379059;4,73E-07;0,000116152;0,000280227;0,000697345;0,000911385;0,000576542;0,000416634;0,000955676;0;0,000409506;0,00031103;0,00080682;0,000140134;0;0,000202097;0,001556079;9,20E-05;0,000193643;0,001339045;0,000636918;0,000428864;0,000398078;0;0,000305931;2,20E-11;2,37E-15;0,000340005;0,000560391;0,000543838;0;0,001115357;0,000119722;0,000601114;9,23E-13;0,000259112;0,002396003;0,000324063;0,000439116;0,000363449;0,000217963;0;0,000110523
skin;0,000335678;0;0,000106402;8,45E-05;0;0,001589401;0,000113318;0;0;0;0;0;0;0;0;0;0;0;2,69E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,011591919;0;0
week;0,000337773;0,000104521;0;0,000439186;3,08E-05;0,00277691;0;0;5,51E-05;0;0;0;0;0;0;0;0;0,000189356;0,002493365;0;0;0;0;0;0,000200826;0;0;0;0;0;0;0;0;0;0;0,000301803;0;0,008929398;0;0;0;8,33E-13;0;0;0;0
evid;0,001380164;0,000179909;0,001734645;0,00027832;0,002609813;0,001544502;9,80E-08;8,24E-13;0,000884618;0;0,000523145;0,000223268;0,001615791;0,002703023;0;0;0;0,002232211;0,001569668;0,000253929;0;1,08E-11;0;0;0;0,002492035;0,005121149;0,001284116;0,001420325;0,002754194;0;0;0;0;0;0,00271766;0;1,76E-09;0;0,001861383;0;0,000278011;0,000692042;0,001605352;2,47E-05;0
henc;0,000163006;0,000248473;3,02E-05;0,000104076;8,03E-05;6,93E-13;0,000186449;0,000519261;0,000145484;0,000262481;6,16E-05;0,000258439;0;0;0,000312401;0,000203878;0,000167936;0,000118851;0;0,000278382;0,000386324;0,000159214;0,000665619;0,000265492;0;0;0;7,57E-05;3,01E-06;0,000100807;0,000147397;4,57E-08;0,00019801;8,04E-16;0,000749684;0,000164217;0,000176858;2,41E-05;0,00063586;0,000345387;0,000231963;0,000347758;1,94E-06;0;0,000245457;0,000184644
user;0;0;0;0;0;0;0;0,009030899;1,26E-07;0;0;0;0;0;0,002422102;0;0;0;0;0;0;0;0,002144733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,032051448;0;0;0;0;0;0;0
